12676,1,&quot;Create your own visual style... let it be unique for yourself and yet identifiable for others. &quot; - Orson Welles 
11222,0,#Neogaf down? 
7345,0,#iremember ...EXACTLY I was doing that Early Summer Morning I heard Aaliyah Died. RIP 
5463,0, lesson learnt... I look like a rock star from kiss haha 
5500,1, Making Demo's!
8202,1,&quot;...wipe that smug smile off Michelle Obama's face&quot; I LOVE SEASON THREE 
11344,1,(@jarradlaughlin) Found jesus in my pants.  nessa &amp; jarrad
10838,0,#Kaspa85 it was hit and miss.  I think it worked for a maximum of a couple hours but it was laggy and died every now and then  #asot400
13230,1,"&quot;If you hear my cry, running through her street, i'm about to freak, come and rescue me&quot; &lt;-- fave part  #jonasparanoid"
5507,0, Maybe I should just keep my mouth shut cause afterall I am second.
2676,0, last episode of buffy always makes me cryy
306,0,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
11142,1,#myweakness - when lola gets wet. 
9631,1,&quot;don't settle for someone who only buys you coffee. go for someone who makes you one.&quot; yiiee! 
9493,1,&quot;Come Back to Me&quot; by David Cook has to be one of the most creative music videos ever!  Brilliant!!! 
15536,0,"/me is disappointed - JavaFX is not really opensourced  ... I guess I won't give it a try, I can as well use Flash."
11282,1,"#random fact: im black,cuban,puertorican ; buh im mainly black  nobody knows that lol."
5039,1, What a night.. lol
231,1,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
10624,0,#IranElection The Prophet (pboh) might well think the same as I do about duck houses/moats vs gunning down unarmed people in the street. 
5188,0,# iv got the flu  i hate being sick#
11856,1,*begins scary laugh w/ crescendo*   @GraphicStart: New Apple iPhone (leaked photos?): http://bit.ly/HtErd
4210,1, Zelda game artwork I seriously hope Link is really older than ever before sure looks it.
6176,0," she's leaving on a jetplane, don't know whe she'll be back again"
7776,1,&amp; the bf of course 
9454,1,"&quot;If you can see the fish, the fish can see you&quot; -a wise man #life #marketing #fishing "
13661,0,... the shoes I wanted weren't in my size... and even online they don't have them in my size 
13531,1,&quot;men will always trade sleep for sex&quot; -jerry seinfeld...I LIVE for seinfeld!!! It's so clasically funny 
2295,0, Hay fever has finally got me! ick!!!
15059,1,(cont) my dad sed it was a hoax dont expect a package! dumbasses...all over just wanting my home telephone number...im a gud hider 
4863,1,#doyourememberwhen 7th Heaven was such a popular show 
1481,0, bio. physics. math. health. filipino. english. elections. help me i'm drowning in school work.
5419,1,#FollowFriday Get a load of this guy! @TerenceSmelser &lt;--- Not afraid to speak his mind. #MayBlowYOURMind #PlaysWithGunsAndBIGTrucks 
14180,1,.....prom ...2 days away ...lets get it 
9602,1,"&quot;Jake Coco: hi!!!!    I love your picture....haha funny stuff!&quot;. vou ali agarrar ele, beijos."
13704,0,... i miss my baby. i miss my sister. i miss sleeping in the morning. i miss cheetos. 
13725,0,... looks like it's gonna rain 
15629,0,: another cup of coffee; another late nite at work. 
4214,1,! RB  @verawooten: &quot;@ladypn: &quot;Its a Brand New Day already! Time to leave the dance party!   &quot;&quot; GooD Morning ? http://blip.fm/~7b9sk
15620,1,:  thinking bout the lost --- and the cross &amp; praying for good-soil hearers tomorrow  
14059,0,...and I don't get along with that kind of stuff 
14561,0,...For security reason your session has timedout -&gt; 'coz I was trying to understand your stupid password policy  I don't like to re-enter
12834,1,*sigh* what i wouldnt do to be at bamboozle right now. 
12140,1,*cough* Yeeaaa. I'll BB ... wheneva. 
5262,1,#android metaldetector says my laptop has metal...and the laundry has not...accurate enough 
2317,1,- is trying to make a song and watching ELLEN DEGENERES SHOW.....  
13220,1,&quot;I was under your porch because I love you&quot; 
9836,1,#FollowFriday @heatherbrewer is a genius writer whose every word is a gift to us all. You'll need her Tweets (&amp; books) like oxygen! 
14920,1,...so he is ironing them himself. he's so cute! he's trying SOOOOO hard!    i know he'll look great in whatever he wears. i love him 
9736,1,#FollowFriday  @iamwun @ViriamKaur @kh7spiritual @Lemuran @MikaelaAngel @littlehanuman @kwaahu8005 @jellsworth @IntegralHack
2226,0, guess i didn't get the job...
6626,1,"#musicmonday  Hmmm...   I Didn't Say I Was Powerful, I Said I Was A Wizard ; Chiodos.  WIN. &lt;3 (And oh wait, seeing them AGAIN. "
12932,0,"*sob*. #Twitterific free is fixed, but Premium still == teh dead "
6614,1,#MrTweet I recommend @cele365 because I love the info on art ornaments and events. 
15047,0,.::It won't let me add a picture  idk why::.
1700,1, I love talking to you. Even if its simple words.
4410,1, on my way to get @jackosborne then to glasgow for florence + the machine
9104,0,#Air France my heart just breaks for those families  2 bodies found
4651,1,#clothdiapers are good to talk about! i guess if you have a child you would know! 
